name,location,bytes,locs,clocs,elocs,declarations,classes,interfaces,types,methods,fields,methodInvocations,fieldAccesses,extends,implements
informa,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/informa|,8989357,18802,9082,9720,4320,115,45,160,1309,485,2456,1296,73,61
webmail,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/webmail|,9845438,12653,4486,8167,3045,79,11,90,859,216,2331,927,42,20
jasml,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jasml|,319674,6082,551,5531,1553,48,1,49,248,505,904,1132,23,2
hsqldb,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/hsqldb|,17130467,178283,60843,117440,36271,426,54,480,8530,6009,25796,28360,204,191
htmlunit,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/htmlunit|,53219070,75506,35502,40004,15887,461,27,488,5047,1635,13047,3282,385,178
jpf,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jpf|,3380876,20258,6916,13342,4290,108,31,139,1272,507,4120,1521,74,57
antlr,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/antlr|,16316822,94060,20833,73227,20303,396,26,422,3758,3801,14200,12488,301,83
javacc,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/javacc|,2169180,42939,7332,35607,6863,141,6,147,2106,999,6439,7607,98,18
quickserver,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/quickserver|,2109042,19797,7173,12624,3883,105,23,128,1286,614,3863,2079,47,67
jhotdraw,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jhotdraw|,28826120,79200,27529,51671,19371,478,48,526,5443,1680,16009,7999,486,305
c_jdbc,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/c_jdbc|,20633920,133589,53298,80291,21369,557,11,568,5182,2691,19745,10350,391,159
fitlibraryforfitnesse,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/fitlibraryforfitnesse|,9492379,30002,3793,26209,12734,693,87,780,3996,876,7650,2949,279,250
jrefactory,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jrefactory|,39675233,178885,77786,101099,33689,1271,52,1323,9610,2936,28254,15868,866,343
quartz,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/quartz|,12089946,47269,22860,24409,9622,157,34,191,2636,974,7346,3023,70,152
freecs,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/freecs|,2968427,27496,5040,22456,6112,130,16,146,1408,959,5699,4250,75,30
ivatagroupware,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/ivatagroupware|,19541587,65243,41703,23540,8373,195,24,219,1915,780,5773,2303,135,87
velocity,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/velocity|,9584849,47249,20539,26710,7560,214,40,254,2042,810,4650,3011,129,72
jsXe,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jsXe|,5673323,20904,8965,11939,4424,155,5,160,998,471,4127,1983,92,77
emma,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/emma|,20218522,31168,9461,21707,8009,260,57,317,1824,1299,4948,3612,138,114
heritrix,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/heritrix|,41391577,123149,44390,78759,20443,531,50,581,4879,2870,19334,7688,402,264
drjava,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/drjava|,23431011,102935,42128,60807,28350,657,93,750,8346,2846,24771,11975,922,851
checkstyle,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/checkstyle|,9444593,53922,21186,32736,8764,286,18,304,2190,1093,7142,5794,217,49
jedit,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jedit|,9152229,141166,44358,96808,27892,874,63,937,6588,3487,25267,14833,499,503
compiere,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/compiere|,306542096,594227,215520,378707,116926,2160,46,2206,34593,16662,122048,35796,1937,542
tomcat,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/tomcat|,20875546,301548,124479,177069,62262,1436,219,1655,17602,7762,46861,25905,773,676
poi,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/poi|,32749969,224009,90972,133037,53464,1382,129,1511,16061,8469,34940,24305,888,349
freecol,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/freecol|,16257010,128036,47047,80989,27222,601,31,632,6400,2668,33264,9444,569,433
jena,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jena|,23812989,141125,81546,59579,31498,884,192,1076,9939,3505,20848,10508,833,398
cobertura,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/cobertura|,14638580,58375,7053,51322,8584,106,10,116,3315,1418,9326,11246,36,50
ant,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/ant|,37646454,183851,85697,98154,34810,1018,83,1101,9759,5184,28875,14553,766,349
jasperreports,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jasperreports|,50079002,263671,94510,169161,51026,1354,285,1639,16522,7425,42656,21955,1085,821
proguard,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/proguard|,6519957,82354,28092,54262,20368,525,41,566,5013,2159,9986,9366,310,599
colt,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/colt|,4073148,78913,45387,33526,19340,226,67,293,4119,988,8972,5280,234,295
sunflow,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/sunflow|,2808045,24091,3286,20805,8330,183,19,202,1451,850,4215,4347,36,116
columba,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/columba|,15774215,111800,43870,67930,23721,981,109,1090,6355,2934,23846,8965,740,555
xalan,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/xalan|,19271022,301283,133983,167300,49850,1038,66,1104,10413,13238,27037,30747,735,374
jrat,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jrat|,3678512,21239,8650,12589,5075,205,14,219,1310,896,3462,1965,85,84
fitjava,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/fitjava|,2784380,1773,75,1698,787,48,0,48,210,95,628,307,40,1
jmoney,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jmoney|,1102838,10132,1937,8195,2377,79,3,82,713,500,2481,1452,91,119
jmeter,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jmeter|,20870439,118643,42661,75982,26912,784,76,860,7830,4533,26170,12688,553,628
jung,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jung|,5999109,42333,16305,26028,12291,341,58,399,3038,890,8038,3737,192,304
jspwiki,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jspwiki|,17981967,73276,31105,42171,13170,391,36,427,2718,2145,11362,5368,222,156
mvnforum,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/mvnforum|,24837079,74431,20953,53478,20315,273,53,326,4400,2084,19654,6494,53,67
galleon,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/galleon|,20719605,67667,10465,57202,19322,501,30,531,4296,2772,21943,8596,513,241
argouml,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/argouml|,50955563,390947,164485,226462,69247,2433,182,2615,19312,8146,69097,26349,2170,841
findbugs,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/findbugs|,13162983,157830,50568,107262,40474,1122,153,1275,9957,4775,33883,16710,651,723
jgraphpad,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jgraphpad|,4592389,36942,15069,21873,8682,350,15,365,1837,871,7941,3636,320,103
drawswf,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/drawswf|,5485031,39029,14088,24941,11777,279,25,304,2730,1302,6621,4641,196,102
jFin_DateMath,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jFin_DateMath|,1755715,7429,3431,3998,1828,46,2,48,403,99,640,411,26,4
picocontainer,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/picocontainer|,4158425,13763,4575,9188,4698,173,33,206,1303,271,2424,948,119,143
jag,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jag|,37889380,23566,8434,15132,5424,119,6,125,1416,893,5033,2424,110,102
xerces,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/xerces|,26490161,192825,80727,112098,36165,717,210,927,9860,5101,21268,21834,571,505
maven,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/maven|,13974189,108090,33261,74829,23512,586,171,757,6304,1922,18764,5283,207,435
trove,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/trove|,4077024,66588,34116,32472,16072,303,71,374,5270,603,8480,5659,238,606
nakedobjects,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/nakedobjects|,16536470,110047,21560,88487,39939,1564,455,2019,12425,3214,26017,10429,1537,747
jext,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jext|,4232792,37887,13539,24348,7789,391,18,409,1958,955,8092,3220,331,115
junit,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/junit|,785968,9579,3477,6102,3017,131,28,159,980,194,1930,521,109,43
tapestry,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/tapestry|,39489706,85945,33931,52014,21962,772,409,1181,5759,2674,12378,7045,219,780
jgrapht,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jgrapht|,1794836,27075,15530,11545,4802,196,33,229,1161,490,2626,1347,100,141
openjms,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/openjms|,21339283,114630,61718,52912,18244,550,76,626,5432,1827,12514,5785,433,348
jchempaint,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jchempaint|,33972047,224914,86131,138783,47450,1155,127,1282,12313,4203,36786,15704,586,665
axion,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/axion|,3696683,37412,13779,23633,8405,211,38,249,2983,696,6785,2839,155,129
cayenne,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/cayenne|,61728060,214419,64349,150070,50732,1792,159,1951,15109,4886,42954,18675,1417,832
jgroups,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jgroups|,13375700,70657,14331,56326,21053,456,83,539,5762,2555,18331,11135,224,258
pmd,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/pmd|,6836782,58342,9111,49231,17011,592,51,643,4894,1773,12369,6476,407,200
log4j,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/log4j|,3118442,33313,15330,17983,7187,189,19,208,1941,849,5674,2647,107,117
jgraph,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jgraph|,5081824,39757,17000,22757,9172,145,22,167,2204,929,6834,3323,87,127
aoi,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/aoi|,13353397,131904,22678,109226,38650,581,33,614,7096,4815,29590,26795,479,233
sablecc,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/sablecc|,1202055,30378,2010,28368,9085,237,5,242,2194,517,6779,2176,184,55
weka,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/weka|,19484050,377877,158497,219380,67067,1131,138,1269,16674,7429,61169,28858,1053,1813
marauroa,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/marauroa|,4313886,26370,12588,13782,5342,180,13,193,1451,547,4278,2183,93,36
ganttproject,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/ganttproject|,19731038,56459,9508,46951,18400,596,115,711,5423,2587,16001,8056,462,468
jfreechart,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/jfreechart|,10884637,198359,107285,91074,33566,504,103,607,8425,2795,22327,13470,373,867
displaytag,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/displaytag|,11188981,20222,8390,11832,3476,112,16,128,996,583,2637,1682,59,41
quilt,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/quilt|,3188434,8759,3081,5678,2236,66,8,74,643,293,1683,991,26,23
itext,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/itext|,9088730,128772,57246,71526,27891,492,38,530,5798,4776,17932,14022,216,121
roller,|file:///Users/ochoa/Documents/cwi/crossminer/data/quaatlas/systems/roller|,84829869,80217,27080,53137,19839,544,75,619,5671,2212,16899,6624,247,206
